epoch,Top2Acc,Top3Acc,acc,loss,val_Top2Acc,val_Top3Acc,val_acc,val_loss
0,0.5651418644704084,0.791546033998411,0.308338158484063,1.6943755811808354,0.6666666671492953,0.8758434550321376,0.3832658571109437,1.2511571618387733
1,0.6615518241447731,0.889982629181266,0.4206716847785581,1.2406643327426965,0.6815114698590216,0.9068825905300506,0.36032388680055233,1.3269624997247085
2,0.699478865463608,0.9137232192141097,0.4206716850201519,1.222864870398322,0.5991902825159904,0.8866396755502935,0.327935222832941,1.4362140723407348
3,0.7229299364782995,0.9174869711439114,0.44904458600451785,1.1657650624663414,0.6464237519282239,0.871794871231805,0.31443994537538844,1.397732898934811
4,0.7460914877155439,0.9264620724757007,0.4652576720569613,1.132760328713634,0.6788124145283873,0.892037786211562,0.434547908392995,1.41317166892784
5,0.765778806834947,0.9345686164078991,0.4959467284653183,1.0851406795687253,0.7031039138715438,0.9014844790644009,0.36032388599617116,1.6235235948794284
6,0.7796757387231386,0.9360162128791963,0.49913144189288455,1.0847546077561503,0.6666666663449142,0.8893387308809277,0.3265856943632427,1.6030115246290138
7,0.7817023736449011,0.9403590040877849,0.5023161549408034,1.060380929456533,0.6896086366553056,0.8947368407378151,0.42240215940514075,1.3236779387985003
8,0.7964678629326835,0.939490445894386,0.519397799410983,1.0404166260687824,0.7139001346310141,0.9122807011913191,0.40755735347788985,1.445468584213823
9,0.7987840181150806,0.9455703527304777,0.5341632889576157,1.0323220568029055,0.6842105251896559,0.9095816458606849,0.3441295540123655,1.5345156389048547
10,0.7993630568761665,0.9452808332981646,0.537637521472361,1.0261905454595308,0.7746288787659041,0.9244264501791734,0.465587043890908,1.215859789114732
11,0.8123914298116643,0.9493341051434669,0.5503763754587334,0.9951839042524416,0.7638326588108151,0.9392712544976619,0.46963562744992626,1.1853488183375473
12,0.8123914303293653,0.9525188185192631,0.5396641577401462,0.987436111634635,0.7179487176269654,0.9122807011913191,0.42105263093544243,1.5590589204136982
13,0.8060220036122864,0.9470179499955832,0.5440069482239533,0.9915171292177432,0.75978407468873,0.9419703111957441,0.48043184820939655,1.167805506472002
14,0.8126809500032722,0.9585987261836765,0.5619571508702751,0.964560015807624,0.8151147103341807,0.9514170048529642,0.5384615391854816,1.0604923911261976
15,0.8245512452785445,0.9559930512928589,0.5628257092534978,0.9540709205700886,0.7327935229911495,0.9311740893101402,0.4251012142933654,1.4878219821353351
16,0.8057324836277588,0.9545454548560751,0.5628257095641184,0.9721131453848189,0.7975708487545431,0.9487179487179487,0.5236167338615165,1.211230702728395
17,0.8323682687775413,0.9643891138290489,0.5828025482538882,0.919643430676706,0.827260459322035,0.9581646431795499,0.5209176781689108,1.0883464655573711
18,0.8312101908757221,0.9542559346299538,0.5839606255689797,0.929548455340778,0.728744939190817,0.8852901494937387,0.41025641065860086,1.727227811227765
19,0.8413433701093306,0.9617834394904459,0.5665894612178128,0.9297318162432142,0.8299595144113548,0.970310391363023,0.5222672072016759,1.0339443690863699
