epoch,Top2Acc,Top3Acc,acc,loss,val_Top2Acc,val_Top3Acc,val_acc,val_loss
0,0.5532407407407407,0.7922453703703703,0.2864583333333333,1.4556299492164895,0.6764705882352942,0.8006535947712419,0.41830065359477125,1.421165745047962
1,0.6197916666666666,0.8478009259259259,0.3443287037037037,1.3358187123581216,0.6143790849673203,0.7483660130718954,0.28431372578237574,1.6752439713945575
2,0.7731481481481481,0.9415509259259259,0.4739583333333333,1.0906856733339805,0.6339869281045751,0.7581699346405228,0.45751634006406744,2.329857952454511
3,0.8530092592592593,0.9710648148148148,0.5370370370370371,0.9706667440908926,0.6895424836601307,0.8202614379084967,0.46405228836084506,2.0944893075749764
4,0.8848379629629629,0.9780092592592593,0.5821759259259259,0.8400567747928478,0.6470588235294118,0.7483660130718954,0.41830065369216446,2.7230270656884885
5,0.8842592592592593,0.9774305555555556,0.5972222222222222,0.8627257976267073,0.7124183006535948,0.8366013071895425,0.5359477124183006,2.243985201798233
6,0.9068287037037037,0.984375,0.6168981481481481,0.7992074246759768,0.7254901960784313,0.8398692810457516,0.46078431450463586,2.176308670075111
7,0.9016203703703703,0.9866898148148148,0.6087962962962963,0.8279578211130919,0.7156862745098039,0.8235294117647058,0.49346405248236813,2.348429577023375
8,0.9247685185185185,0.9872685185185185,0.6336805555555556,0.742614620813617,0.7810457516339869,0.869281045751634,0.5588235301909104,1.762191716167662
9,0.9241898148148148,0.9907407407407407,0.6568287037037037,0.6982845277697952,0.7516339869281046,0.8529411764705882,0.5686274517595379,2.2179784613107545
10,0.9282407407407407,0.9907407407407407,0.6452546296296297,0.739616404528971,0.7483660130718954,0.8431372549019608,0.5326797381725187,2.322958117606593
11,0.9334490740740741,0.9901620370370371,0.6603009259259259,0.6762130243910683,0.7581699346405228,0.8529411764705882,0.5620915024888282,2.3808244891416015
12,0.9369212962962963,0.9924768518518519,0.6753472222222222,0.6870360948421337,0.7581699346405228,0.8464052287581699,0.5620915024888282,2.2276301321640513
13,0.9375,0.9907407407407407,0.6747685185185185,0.6722335677455973,0.7843137254901961,0.8660130718954249,0.5751633994719562,2.097159538588493
14,0.9409722222222222,0.9907407407407407,0.6938657407407407,0.644840908271295,0.7745098039215687,0.8594771241830066,0.5294117647058824,2.530078716235223
15,0.9456018518518519,0.9901620370370371,0.6817129629629629,0.6540667591271577,0.7483660130718954,0.8431372549019608,0.5261437908496732,2.536821853101643
16,0.9392361111111112,0.9907407407407407,0.6788194444444444,0.627602329408681,0.761437908496732,0.8464052287581699,0.5751633990823833,2.380201185256048
17,0.9519675925925926,0.9942129629629629,0.6898148148148148,0.6094255629512999,0.7222222222222222,0.8431372549019608,0.5424836601307189,2.4857545366474225
