epoch,Top2Acc,Top3Acc,acc,loss,val_Top2Acc,val_Top3Acc,val_acc,val_loss
0,0.5277234180177339,0.7853881283593349,0.27592954981467027,1.4869994628841552,0.28044280442804426,0.4317343173431734,0.11439114391143912,1.7026181858843983
1,0.575342466064473,0.7866927598009527,0.3346379648915942,1.3993167487609177,0.26199261992619927,0.48339483414078993,0.0959409594095941,1.6858986303815102
2,0.6112198303590315,0.8388780167658035,0.3405088062427904,1.3775766095692086,0.3247232472324723,0.4354243542435424,0.2140221402214022,1.5273419081944821
3,0.6333985652164627,0.841487279649039,0.3763861708678378,1.3414929103633584,0.3210332103321033,0.4464944653295503,0.11439114391143912,1.9857507521815845
4,0.646444879554878,0.861056751195543,0.3652968036335275,1.3364056083631919,0.33210332103321033,0.6974169746096284,0.1033210332103321,1.5500344046807377
5,0.6666666662000941,0.8649706462980172,0.38421395967306843,1.307318205858319,0.3210332103321033,0.5977859779697503,0.1070110701107011,1.6691184813685962
6,0.6777560334538449,0.8819308546113563,0.3939986954852015,1.2964818029720955,0.34317343173431736,0.487084871013666,0.0959409594095941,2.0168553973475944
7,0.656881931165582,0.8714938031561765,0.37638617102336197,1.3147361552256505,0.31365313653136534,0.656826569145456,0.11808118081180811,1.9530907548221714
8,0.686888454245028,0.879321591805883,0.4057403783819991,1.2854464965479404,0.3173431734317343,0.6752767532074143,0.12546125461254612,1.9926623255564277
9,0.6986301372195877,0.8949771686776044,0.405088062875036,1.2582488486911452,0.3173431734317343,0.7638376383763837,0.0959409594095941,2.2319520056467654
10,0.7110241356427889,0.8936725379358454,0.44292237419593744,1.2499056944875102,0.31365313653136534,0.7269372698125804,0.1033210332103321,2.1248580635253793
11,0.7221135027410155,0.8988910632746249,0.4200913241620322,1.24514851792529,0.30996309963099633,0.7749077492974341,0.1070110701107011,2.3277350312229452
12,0.7384213961889288,0.8956294850982721,0.45727332053974573,1.215469032739862,0.31365313653136534,0.6531365324650303,0.0959409594095941,2.644852991033744
13,0.7208088716493272,0.89628180004146,0.4514024788386201,1.2151119321759667,0.2878228782287823,0.7822878228782287,0.1033210332103321,2.65061286454711
14,0.7482061319232998,0.9106327458992551,0.48010437004875683,1.1840558463424464,0.28044280442804426,0.7749077492974341,0.0959409594095941,2.6499959146844505
15,0.7508153948065353,0.9015003261578604,0.4853228965345272,1.1762974850896597,0.2988929889298893,0.7638376385963271,0.0959409594095941,2.746155224163154
16,0.7742987606778926,0.9145466405740378,0.5153294193223653,1.14929791746463,0.2878228782287823,0.7749077490774908,0.0996309963099631,2.7072360990672095
17,0.7795172864443636,0.9093281144576374,0.528375733894067,1.144799580390517,0.29151291532160173,0.7638376385963271,0.0996309963099631,2.5854205856464008
18,0.7951728638215385,0.9223744293015064,0.5375081535576997,1.1102376399441474,0.3136531369162662,0.7675276754966961,0.0996309963099631,2.748103808652871
19,0.7951728631216797,0.921722113930627,0.5499021526807597,1.0994159106094699,0.3431734322841757,0.7896678968989101,0.1033210332103321,2.6406059924966736
20,0.8036529685419833,0.9223744293015064,0.5544683629985891,1.090094564012352,0.4354243543535141,0.8081180811808119,0.11070110701107011,2.418052737123412
21,0.8069145471460276,0.93150684974276,0.5720808871104992,1.062438679145818,0.3726937274871277,0.8118081180811808,0.0996309963099631,2.772070862710256
22,0.8166992826082313,0.9295499018027125,0.5662100456232194,1.0522032295732193,0.47970479858757387,0.8118081183011242,0.13284132841328414,2.3528885058371345
23,0.8108284411209514,0.9302022183011422,0.5557729944402069,1.0547893034502018,0.46863468788646684,0.8191881918819188,0.13653136531365315,2.236165643178229
24,0.812785388205616,0.93672537473161,0.5688193080787634,1.0637181953752421,0.44649446648425284,0.8154981552014932,0.11439114391143912,2.4518899218182724
25,0.8082191782377159,0.9347684275691834,0.56621004527329,1.0457566310903719,0.5202952042716895,0.8339483394833949,0.14760147601476015,2.283040317222201
26,0.8323548592077854,0.9412915848550343,0.5962165690720354,1.0261766672600972,0.4022140226900798,0.8265682656826568,0.1033210332103321,2.7926716659341793
27,0.8212654926538934,0.9315068493928306,0.5877364639822207,1.0229299247303743,0.5166051675912638,0.8339483394833949,0.14760147601476015,2.277468138955176
28,0.8232224395441526,0.9399869533356544,0.5896934115140172,1.0153022690373001,0.5645756470761176,0.8339483394833949,0.1586715869083176,2.150560605569959
29,0.8310502277661677,0.9406392690564632,0.5896934119222682,1.0054473422044876,0.49446494618904985,0.8339483394833949,0.14391143911439114,2.339607675577002
