epoch,Top2Acc,Top3Acc,acc,loss,val_Top2Acc,val_Top3Acc,val_acc,val_loss
0,0.45949074074074076,0.7708333333333334,0.21296296296296297,1.3915653537820887,0.7549019607843137,0.8660130718954249,0.3562091503511457,1.3226199808463552
1,0.7274305555555556,0.9282407407407407,0.43113425925925924,1.2727511613457292,0.5751633987902036,0.9575163398692811,0.4411764706125836,1.1845900206004871
2,0.6921296296296297,0.9346064814814815,0.3993055555555556,1.1697989812603704,0.640522874648275,0.9640522875816994,0.29738562247332406,1.1307550345370971
3,0.7077546296296297,0.9444444444444444,0.44849537037037035,1.1195873441519562,0.6470588219711204,0.8398692810457516,0.356209150375494,1.5228955402872921
4,0.7598379629629629,0.9565972222222222,0.4774305555555556,1.0574029021792941,0.6732026128207936,0.9084967320261438,0.4379084973163854,1.2918220641566258
5,0.7563657407407407,0.9589120370370371,0.44560185185185186,1.0510378689677626,0.5882352947020063,0.9705882352941176,0.24509803980004555,1.1156159970495436
6,0.7598379629629629,0.9699074074074074,0.4583333333333333,1.007129862352654,0.6470588223606932,0.9509803921568627,0.33006535986669705,1.1939560307396784
7,0.7563657407407407,0.9681712962962963,0.44849537037037035,1.007056846662804,0.6405228754274206,0.9575163398692811,0.33006535908755136,1.0907989475462172
8,0.7609953703703703,0.9699074074074074,0.45717592592592593,0.9902449040501206,0.6960784302038305,0.954248366013072,0.33006535986669705,1.1903263088924434
9,0.7962962962962963,0.9728009259259259,0.48148148148148145,0.966913127236896,0.7352941184262045,0.9738562091503268,0.37254901882869745,1.1039830851399042
10,0.7905092592592593,0.9762731481481481,0.47511574074074076,0.9620739497520305,0.7581699334718044,0.9640522875816994,0.382352941371257,1.1380780592463375
11,0.8090277777777778,0.9739583333333334,0.4976851851851852,0.9547910546814954,0.6732026159373763,0.9771241830065359,0.3333333333333333,1.0624197324117024
12,0.8263888888888888,0.9774305555555556,0.5190972222222222,0.9386036616784555,0.7058823525516036,0.9771241830065359,0.3529411760810154,1.0761015769702937
13,0.8292824074074074,0.9814814814814815,0.5127314814814815,0.9366695627018258,0.7124183018223132,0.9738562091503268,0.3464052283685971,1.0820792391409282
14,0.8379629629629629,0.9797453703703703,0.5353009259259259,0.924717507980488,0.7091503279661041,0.9771241830065359,0.34967320417267045,1.0829680745118584
15,0.8396990740740741,0.9837962962962963,0.5358796296296297,0.9191784682097258,0.6960784325412676,0.9771241830065359,0.34967320280916553,1.109994566518497
16,0.8321759259259259,0.9826388888888888,0.5289351851851852,0.9099817706478966,0.712418299874449,0.9771241830065359,0.33660130874783384,1.1052097685975966
17,0.8402777777777778,0.984375,0.5335648148148148,0.9076875867667021,0.692810457126767,0.9705882352941176,0.3529411770549475,1.1301252697807511
18,0.8466435185185185,0.9849537037037037,0.5451388888888888,0.8986172212494744,0.6830065371164309,0.9771241830065359,0.36928104536206113,1.0905638037164227
19,0.8339120370370371,0.984375,0.5318287037037037,0.9043674932585822,0.7124183018223132,0.9738562091503268,0.3562091514955159,1.1053309873038648
20,0.8478009259259259,0.9866898148148148,0.5434027777777778,0.8899357009817053,0.7287581707137862,0.9738562091503268,0.38235294078689774,1.1032353748683057
21,0.8466435185185185,0.9866898148148148,0.5364583333333334,0.8900024129284753,0.705882354109895,0.9738562091503268,0.3529411780288796,1.1026414796417834
22,0.8472222222222222,0.9861111111111112,0.5491898148148148,0.8827203732949717,0.732026143011704,0.9771241830065359,0.38235294078689774,1.1015634949690376
23,0.8541666666666666,0.9849537037037037,0.5491898148148148,0.8784570142074868,0.7124183018223132,0.9803921568627451,0.3594771257412979,1.1094547673767687
24,0.8524305555555556,0.9878472222222222,0.5555555555555556,0.8731017212073008,0.712418300264022,0.9771241830065359,0.369281045751634,1.0999434676045685
25,0.8530092592592593,0.9832175925925926,0.5520833333333334,0.875491401663533,0.7058823525516036,0.9836601307189542,0.3464052303164613,1.108935318741144
26,0.8605324074074074,0.9884259259259259,0.5526620370370371,0.8652453345281107,0.6960784309829762,0.9803921568627451,0.34967320417267045,1.1187737280247259
27,0.8478009259259259,0.9866898148148148,0.5509259259259259,0.8720388898143062,0.7026143786953944,0.9738562091503268,0.3529411780288796,1.1132961309034062
28,0.8616898148148148,0.9832175925925926,0.5572916666666666,0.8672693162052719,0.6928104590746312,0.9738562091503268,0.3464052303164613,1.1180746309897478
29,0.8547453703703703,0.9855324074074074,0.5520833333333334,0.8691546674127932,0.7026143786953944,0.9803921568627451,0.33660130874783384,1.123148845691307
