epoch,Top2Acc,Top3Acc,acc,loss,val_Top2Acc,val_Top3Acc,val_acc,val_loss
0,0.6799768518518519,0.9010416666666666,0.37210648148148145,1.1849570097746673,0.5849673208457972,0.9575163398692811,0.40522875816993464,1.235804988667856
1,0.7488425925925926,0.9600694444444444,0.4212962962962963,1.0833671733185097,0.5718954244470285,0.9673202614379085,0.12745098039215685,1.4351739743176628
2,0.7621527777777778,0.9670138888888888,0.4525462962962963,1.033442497253418,0.6535947712418301,0.9150326797385621,0.2222222222222222,2.1291459705315385
3,0.7847222222222222,0.9716435185185185,0.46585648148148145,1.0116697527744152,0.7810457508548413,0.9771241830065359,0.45098039215686275,1.0486131006596136
4,0.8159722222222222,0.9762731481481481,0.5023148148148148,0.9868448630527213,0.8431372549019608,0.9738562091503268,0.5098039215686274,1.2167363190183453
5,0.8304398148148148,0.9745370370370371,0.5254629629629629,0.954331162903044,0.7254901964680042,0.9705882352941176,0.32026143810328317,1.1856059120371452
6,0.8368055555555556,0.9791666666666666,0.5462962962962963,0.9354993800322214,0.5915032681686426,0.8660130703371335,0.290849673251311,1.570758655180339
7,0.8611111111111112,0.9774305555555556,0.5572916666666666,0.9246438609229194,0.5620915032923222,0.7418300653594772,0.3660130718954248,1.5203881840300715
8,0.8582175925925926,0.9780092592592593,0.5746527777777778,0.8802239100138346,0.6993464044496125,0.9901960784313726,0.28104575168268353,1.3978282400206024
9,0.8726851851851852,0.9762731481481481,0.5879629629629629,0.8633630231574729,0.5490196078431373,0.9607843125567717,0.2679738562091503,2.0050174177082534
10,0.8715277777777778,0.9756944444444444,0.5989583333333334,0.8604921014220627,0.5947712419274586,0.9248366016967624,0.37254901960784315,1.179711418214187
11,0.8692129629629629,0.9809027777777778,0.6082175925925926,0.8447833304051999,0.7810457504652684,0.964052286023408,0.4934640523362783,1.1158702529333775
12,0.8761574074074074,0.9832175925925926,0.6024305555555556,0.827014155961849,0.7516339877072502,0.9673202614379085,0.3921568633294573,1.1408807580767115
13,0.8831018518518519,0.9872685185185185,0.6423611111111112,0.8048099820260648,0.6732026139895121,0.9869281045751634,0.28431372558758927,1.3784543938106961
14,0.8865740740740741,0.9872685185185185,0.6336805555555556,0.7919745919881044,0.7320261426221312,0.9836601307189542,0.3039215687248442,1.4055436483395645
15,0.8929398148148148,0.9866898148148148,0.6394675925925926,0.781910248376705,0.7352941184262045,0.9836601307189542,0.3790849673202614,1.2206656897769255
16,0.8987268518518519,0.9837962962962963,0.6440972222222222,0.7684770049872222,0.7058823521620308,0.9869281045751634,0.385620915617039,1.2444488558114744
17,0.8912037037037037,0.9878472222222222,0.6394675925925926,0.7640048309608742,0.7058823537203222,0.9901960784313726,0.33986928114314485,1.334411225287743
18,0.9050925925925926,0.9872685185185185,0.6568287037037037,0.7510903074785515,0.7581699354196686,0.9705882352941176,0.408496732123537,1.242073027916204
19,0.9050925925925926,0.9878472222222222,0.6695601851851852,0.7415281534194946,0.7647058811842227,0.9705882352941176,0.40522875826732785,1.22596466229632
20,0.8964120370370371,0.9895833333333334,0.6637731481481481,0.7411968862568891,0.7483660138510411,0.9771241830065359,0.35947712496215223,1.3057836185093799
21,0.8964120370370371,0.9861111111111112,0.6724537037037037,0.7342964896449337,0.722222223001368,0.9869281045751634,0.29411764735100315,1.7740711706136567
22,0.9027777777777778,0.9890046296296297,0.6637731481481481,0.7372778085646806,0.7614379092758777,0.9803921568627451,0.3921568633294573,1.2537970963646383
23,0.9085648148148148,0.9895833333333334,0.6736111111111112,0.731402024074837,0.7614379092758777,0.9803921568627451,0.36274509862357496,1.3442250996633294
24,0.9045138888888888,0.9895833333333334,0.6817129629629629,0.717776851521598,0.771241828896641,0.9771241830065359,0.36274509862357496,1.342255433400472
25,0.9079861111111112,0.9895833333333334,0.6695601851851852,0.7127440384140721,0.735294117257486,0.9836601307189542,0.3464052293425292,1.3683286492341484
26,0.9097222222222222,0.9890046296296297,0.6799768518518519,0.711991098192003,0.7647058831320869,0.9771241830065359,0.36274509881836137,1.3787088596742916
27,0.9074074074074074,0.9895833333333334,0.6793981481481481,0.7044915264403379,0.7777777785569234,0.9771241830065359,0.3660130724797841,1.3306072833491307
28,0.9143518518518519,0.9913194444444444,0.6770833333333334,0.7030724309108876,0.7549019600051681,0.9803921568627451,0.3529411770549475,1.429676302118239
29,0.9137731481481481,0.9930555555555556,0.6828703703703703,0.6825692267329605,0.7549019600051681,0.9836601307189542,0.3562091507163702,1.4467196386624006
