epoch,Top2Acc,Top3Acc,acc,loss,val_Top2Acc,val_Top3Acc,val_acc,val_loss
0,0.5188187607879506,0.7565141862779252,0.26172553566265605,1.3877752618287158,0.5816464241538775,0.7638326576846813,0.379217273913897,1.3616861602072774
1,0.5263462648891478,0.771279675531194,0.2831499710998303,1.386823638643774,0.5600539799000409,0.7921727405868562,0.38731444058952386,1.3737861054789844
2,0.5512449334105385,0.8016792123691844,0.3092067166602052,1.3817635736647684,0.5600539804631077,0.76923076834595,0.3967611342467438,1.3678507555512442
3,0.5359004052926435,0.7788071799084985,0.29038795583774124,1.385840694408715,0.5870445348151461,0.7665317151871448,0.37786774636923703,1.3596898817662124
4,0.5483497399157296,0.7776491020411926,0.28372900996445644,1.3862658085406137,0.4561403496706212,0.8137651834732447,0.23481781408693467,1.3693321706795016
5,0.5315576141185683,0.7721482337591065,0.2565141863383236,1.3911197361534706,0.4453441291524653,0.8151147111385618,0.1997300945976485,1.377346043322894
6,0.5167921247617593,0.7669368843571188,0.27996525746518364,1.3870244413424448,0.6221322530676962,0.790823212921539,0.3859649123611399,1.3696308615397506
7,0.5254777067302622,0.7625940933556107,0.26838448163085266,1.3864083765004505,0.45074223981373385,0.8137651813014155,0.23886639603719054,1.3481750169746307
8,0.572379849864074,0.8129704685727502,0.30138969298001306,1.3608043607287692,0.7044534412151084,0.9190283400809717,0.35627530348284847,1.2531480866405162
9,0.6945570354939336,0.9004053266737319,0.38013896939722736,1.2493391816299915,0.7287449405582649,0.9163292841872706,0.42375168626607673,1.1722790018910498
10,0.7200347421551689,0.916039374914208,0.3949044586504962,1.2159642908154848,0.7273954112841855,0.9473684218570128,0.4278002708707905,1.1399209206564385
11,0.7272727276868881,0.9319629412754878,0.41661841320936294,1.1870393554944831,0.6707152509496279,0.9541160601835984,0.40755735476489974,1.188253514840696
12,0.7333526344884663,0.9334105382644861,0.4082223509665369,1.1731225821622617,0.7139001346310141,0.951417004048583,0.4210526303723756,1.1138052708706876
13,0.7475390856018905,0.9284887088125127,0.4200926462935794,1.1715489015043576,0.7165991902029627,0.9568151147098516,0.43859649094653674,1.1265399316061846
14,0.7420382161808622,0.9357266934813967,0.4258830341978023,1.1644974079999058,0.7557354938646077,0.9473684218570128,0.4696356271281738,1.1364075535865608
15,0.7478286046545563,0.9351476552034984,0.4310943833409394,1.1594895069213982,0.690958164561937,0.9473684204895647,0.418353576891818,1.175257232829466
16,0.7533294726605352,0.935147654651284,0.4418066010767832,1.1465371173451109,0.7449392717376895,0.9365721983626465,0.460188933591611,1.1118867931417447
17,0.7547770705123685,0.9354371743251909,0.4235668790326618,1.1513923787628908,0.7287449389495025,0.9527665303464521,0.46423751646690525,1.090591207046097
18,0.7556456278429324,0.9435437174635811,0.4441227559830732,1.1294197245836948,0.7705802971374007,0.9649122807017544,0.4952766527691994,1.10184937176595
19,0.76317313215121,0.9426751587179678,0.4403590041222984,1.1310083395356585,0.7368421041370242,0.9419703098282962,0.4291497979730408,1.1001852855347751
